"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.725872773E2,6.501678498E1,2.551135042E1,1.809997856E1,1.879999995E0,1.830000000E2,3.790092468E0,2.500000000E0
1.735871726E2,6.501676870E1,2.551134390E1,1.771698931E1,1.899999976E0,1.850000000E2,3.790092468E0,2.500000000E0
1.745867288E2,6.501675142E1,2.551133899E1,1.750831662E1,1.980000019E0,1.836000061E2,3.790092468E0,2.500000000E0
1.755874137E2,6.501673446E1,2.551133840E1,1.755892069E1,1.870000005E0,1.788999939E2,3.790092468E0,2.500000000E0
1.765867590E2,6.501671972E1,2.551133869E1,1.757076656E1,1.820000052E0,1.798999939E2,3.790092468E0,2.500000000E0
1.775872596E2,6.501670305E1,2.551133993E1,1.764401436E1,1.919999957E0,1.783999939E2,3.790092468E0,2.500000000E0
1.785872938E2,6.501668649E1,2.551134122E1,1.766281875E1,1.850000024E0,1.758000031E2,3.790092468E0,2.500000000E0
1.795869507E2,6.501667115E1,2.551133870E1,1.757591027E1,1.830000043E0,1.811000061E2,3.790092468E0,2.500000000E0
1.805872623E2,6.501665722E1,2.551133507E1,1.772484126E1,1.700000048E0,1.843999939E2,3.790092468E0,2.500000000E0
1.815866846E2,6.501664057E1,2.551133012E1,1.769536759E1,1.879999995E0,1.838999939E2,3.790092468E0,2.500000000E0
1.825873118E2,6.501662727E1,2.551132816E1,1.830078011E1,1.820000052E0,1.805000000E2,3.892643929E0,2.500000000E0
1.835865143E2,6.501661347E1,2.551131990E1,1.810071256E1,1.509999990E0,1.856999969E2,4.242234230E0,2.500000000E0
1.845874398E2,6.501660035E1,2.551130869E1,1.758051572E1,1.409999967E0,1.995000000E2,3.790092468E0,2.500000000E0
1.855866873E2,6.501658142E1,2.551131131E1,1.768074168E1,1.799999952E0,1.818999939E2,3.790092468E0,2.500000000E0
1.865873602E2,6.501656473E1,2.551131269E1,1.773921896E1,1.860000014E0,1.820000000E2,3.790092468E0,2.500000000E0
1.875870163E2,6.501655116E1,2.551131368E1,1.772542959E1,1.500000000E0,1.801999969E2,3.790092468E0,2.500000000E0
1.885868049E2,6.501653828E1,2.551131909E1,1.780606086E1,1.350000024E0,1.736000061E2,3.790092468E0,2.500000000E0
1.895874633E2,6.501652735E1,2.551132842E1,1.788455479E1,1.149999976E0,1.656000061E2,3.790092468E0,2.500000000E0
1.905871440E2,6.501651964E1,2.551134211E1,1.815555200E1,8.600000143E-1,1.505000000E2,3.790092468E0,2.500000000E0
1.915868542E2,6.501651725E1,2.551135788E1,1.816275319E1,5.899999738E-1,1.095000000E2,3.790092468E0,2.500000000E0
